,,Reporting Quality ,,Performance bias ,,Detection bias ,Comments 
Row_ID,IVR_ID,Units,Plot Resolution ,Are measurement timepoint number sufficient? > 5,Does the shape resemble a profile? ,Are sufficient numbers of repeats used and average presented?,
1,1,% of intensity ,Poor,Yes,No ,Yes,
2,2,% of intensity ,Poor,Yes,No ,Yes,
3,3,% release,Medium,Yes,Yes,Yes,
4,4,% release,Medium,Yes,Yes,Yes,
5,5,% release,Poor,No ,No ,Yes,
6,6,% release,Poor,No ,No ,Yes,
7,7,% release,Good,No ,No ,Yes,
8,8,% release,Good,No ,No ,No,
9,9,% release,Good,No ,No ,No,Legend unclear to distinguish formulations
10,10,% release,Medium,No ,No ,No,
11,11,% release,Medium,No ,No ,No,
12,12,% release,Medium,No ,No ,No,
13,13,% release,Medium,No ,No ,No,Large markers hinder resolution 
14,14,% release,Poor,No ,No ,No,
15,15,% release,Poor,No ,No ,Yes,Overlapping datapoints hinder resolution
16,16,% release,Poor,No ,No ,Yes,
17,17,% release,Poor,No ,No ,Yes,
18,18,% release,Poor,No ,No ,No,
19,19,% release,Poor,No ,No ,No,
20,20,% release,Poor,No ,No ,No,
21,21,% release,Poor,Yes,No ,Yes,
22,22,% release,Poor,Yes,No ,Yes,
23,23,% release,Medium,Yes,Yes,Yes,
24,24,% release,Medium,Yes,Yes,Yes,Initial overlapping datapoints 
25,25,% release,Medium,Yes,No ,Yes,
26,26,% release,Medium,Yes,No ,Yes,
27,27,% release,Medium,Yes,Yes,Yes,
28,28,% release,Medium,Yes,Yes,Yes,
29,29,% release,Medium,Yes,No ,Yes,
30,30,% release,Medium,Yes,No ,Yes,
31,31,% release,Medium,Yes,Yes,Yes,
32,32,% release,Medium,Yes,Yes,Yes,
33,33,% release,Good,Yes,Yes,Yes,
34,34,% release,Good,Yes,Yes,Yes,
35,35,% release,Medium,Yes,Yes,Yes,
36,36,% release,Medium,Yes,Yes,Yes,
37,37,% release,Poor,Yes,Yes,Yes,
38,38,% release,Medium,Yes,No ,Yes,
39,39,% release,Poor,Yes,Yes,Yes,
40,40,% release,Poor,Yes,Yes,Yes,
41,41,% release,Poor,Yes,No ,Yes,
42,42,% release,Poor,Yes,No ,Yes,
43,43,% release,Poor,Yes,No ,Yes,
44,44,% release,Poor,Yes,No ,Yes,
45,45,% release,Poor,Yes,Yes,Yes,
46,46,% release,Poor,Yes,Yes,Yes,
47,47,% release,Medium,Yes,Yes,Yes,
